No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
1,08/03/2024,Vente,460000.0,57.0,AV,0900,DE STRASBOURG,77120.0,COULOMMIERS,77,131,AS,179,0,1.0,Maison,250.0,9.0,S,844.0
1,28/03/2024,Vente,300000.0,2.0,RUE,7870,POULLAIN-DUPARC,35000.0,RENNES,35,238,DI,257,2,3.0,Dépendance,0.0,0.0,,
1,22/01/2024,Vente,140000.0,6.0,RUE,2875,MAURICE MAUCHAMP,21200.0,BEAUNE,21,54,EC,81,2,3.0,Dépendance,0.0,0.0,,
1,03/04/2024,Vente,45790000.0,82.0,RUE,0639,BALARD,75015.0,PARIS 15,75,115,ET,26,0,2.0,Appartement,70.0,3.0,S,1319.0
1,25/03/2024,Vente,122000.0,13.0,RUE,7130,DE PARIS,92110.0,CLICHY,92,24,AC,182,1,2.0,Appartement,34.0,2.0,,
1,28/03/2024,Vente,306710.0,51.0,RUE,6600,THIERS,38000.0,GRENOBLE,38,185,CN,60,1,3.0,Dépendance,0.0,0.0,,
1,23/04/2024,Vente,185000.0,345.0,RTE,0055,DU COLOMBIER,24160.0,SAINT-RAPHAEL,24,493,B,440,0,1.0,Maison,78.0,3.0,P,1337.0
1,27/03/2024,Vente,158500.0,96.0,RUE,1000,DU GRAND PRIEUR,95110.0,SANNOIS,95,582,AR,339,1,2.0,Appartement,70.0,3.0,,
1,28/06/2024,Vente,220000.0,5243.0,,B339,KERMENE,56800.0,TAUPONT,56,249,ZN,40,0,3.0,Dépendance,0.0,0.0,S,576.0
1,28/06/2024,Vente,205000.0,4.0,CHE,0067,DE L'ORBIEU,11200.0,NEVIAN,11,264,AB,4,0,1.0,Maison,91.0,4.0,S,850.0
1,31/05/2024,Vente,307580.0,36.0,RUE,0780,FRANCOIS DE SOURDIS,33120.0,ARCACHON,33,9,AD,209,1,2.0,Appartement,41.0,2.0,,
1,11/06/2024,Vente,125000.0,60.0,AV,2630,DE LA CROIX ROUGE,13013.0,MARSEILLE 13EME,13,213,C,73,1,3.0,Dépendance,0.0,0.0,,
1,30/04/2024,Vente,165000.0,14.0,CHE,0013,DU GRAND MONT,88600.0,GRANDVILLERS,88,216,D,39,0,1.0,Maison,118.0,6.0,S,262.0
1,19/04/2024,Vente,57000.0,9004.0,CITE,A055,DU PONT DE L ECHO,9000.0,FOIX,09,122,A,3671,1,3.0,Dépendance,0.0,0.0,,
1,19/02/2024,Vente,40000.0,4.0,IMP,0135,DES FONDS JOYEUX,80240.0,VILLERS-FAUCON,80,802,A,234,0,3.0,Dépendance,0.0,0.0,S,303.0
1,05/03/2024,Vente,280600.0,4.0,RUE,0590,DU FORTIN DE BEAUSEJOUR,56000.0,VANNES,56,260,BM,10,1,3.0,Dépendance,0.0,0.0,,
1,29/04/2024,Vente,47000.0,9.0,CHE,0150,DU PAYSSA,65130.0,ASQUE,65,41,A,31,0,1.0,Maison,80.0,3.0,S,408.0
1,26/04/2024,Vente,290000.0,2.0,RUE,0450,DE LA PRAIE,79100.0,SAINT-LEGER-DE-MONTBRUN,79,265,AI,158,0,3.0,Dépendance,0.0,0.0,S,1500.0
1,28/06/2024,Vente,600000.0,1.0,RUE,0130,DE L'HOTEL DE VILLE,22140.0,BEGARD,22,4,AM,7,0,4.0,Local industriel. commercial ou assimilé,0.0,0.0,S,3264.0
1,02/02/2024,Vente,293000.0,7.0,CHE,0247,DE LA CHAPELLE VIGNEMONT,37600.0,LOCHES,37,132,BD,123,0,1.0,Maison,163.0,6.0,S,1248.0
1,09/02/2024,Vente,352000.0,2.0,CHE,0110,DU PIC,42610.0,SAINT-GEORGES-HAUTE-VILLE,42,228,C,721,0,3.0,Dépendance,0.0,0.0,P,400.0
1,21/03/2024,Vente,140000.0,18.0,RUE,0205,DE CLOUSSINE,5460.0,ABRIES-RISTOLAS,05,1,ZA,131,0,3.0,Dépendance,0.0,0.0,S,1409.0
1,15/02/2024,Vente,126695.0,8.0,RUE,0230,DANTON,30300.0,BEAUCAIRE,30,32,AX,81,2,3.0,Dépendance,0.0,0.0,,
1,21/05/2024,Vente,38000.0,17.0,RUE,0060,LACORDAIRE,81540.0,SOREZE,81,288,A,800,1,2.0,Appartement,49.0,2.0,,
1,31/01/2024,Vente,402250.0,216.0,CHE,0168,DE SAINTE LUCIE,6440.0,PEILLE,06,91,H,2824,0,1.0,Maison,99.0,5.0,BR,626.0
1,05/01/2024,Vente,402150.0,75.0,RUE,3059,DUTOT,75015.0,PARIS 15,75,115,AC,46,2,2.0,Appartement,40.0,2.0,,
1,24/05/2024,Vente,30000.0,29.0,RUE,0031,JEAN ROUX,42220.0,SAINT-SAUVEUR-EN-RUE,42,287,AC,111,0,1.0,Maison,78.0,3.0,S,49.0
